Date,AAPL,ABBV,BAC,CAT,COP,COST,CVX,EOG,GE,GOOGL,GS,HON,JNJ,JPM,KO,LLY,MA,MCD,MRK,MSFT,NVDA,ORCL,PEP,PFE,RTX,SLB,UNP,V,WMT,XOM
2015-01-02,24.192609786987305,41.411922454833984,14.050796508789062,69.02717590332031,47.56376647949219,113.81514739990234,68.89834594726562,66.31723022460938,102.30318450927734,26.244783401489258,154.87265014648438,74.39364624023438,76.11090087890625,46.06679153442383,29.3902587890625,57.2823371887207,79.71471405029297,69.80447387695312,38.20956802368164,39.681739807128906,0.48242297768592834,37.224056243896484,66.58293914794922,18.0825252532959,55.35451126098633,62.20848083496094,91.70442199707031,61.08808517456055,23.12754249572754,57.14554214477539
2015-01-05,23.51106071472168,40.63257598876953,13.64261531829834,65.38345336914062,45.30013656616211,112.52115631103516,66.14436340332031,62.31977081298828,100.4253158569336,25.744714736938477,150.03709411621094,72.97598266601562,75.57931518554688,44.636634826660156,29.3902587890625,56.71819305419922,77.47245788574219,69.03351593017578,38.7774658203125,39.316837310791016,0.4742748439311981,36.7020263671875,66.08235168457031,17.984411239624023,54.43065643310547,60.523807525634766,88.60404205322266,59.739662170410156,23.060232162475586,55.58195114135742
2015-01-06,23.51327133178711,40.43145751953125,13.234436988830566,64.96276092529297,43.42987060546875,114.00806427001953,66.1137924194336,60.54392623901367,98.26163482666016,25.109350204467773,147.0019073486328,72.8052749633789,75.20793151855469,43.479248046875,29.613449096679688,57.00436019897461,77.30497741699219,69.1607437133789,40.300785064697266,38.739776611328125,0.4598955810070038,36.32313537597656,65.58179473876953,18.13447380065918,53.66077423095703,59.34022521972656,86.77166748046875,59.354705810546875,23.237937927246094,55.28644943237305
2015-01-07,23.84298324584961,42.065547943115234,13.297239303588867,65.96947479248047,43.71973419189453,115.99329376220703,66.0586929321289,60.162872314453125,98.30252075195312,25.035503387451172,149.1926727294922,73.332275390625,76.86822509765625,43.54560852050781,29.98309326171875,56.603721618652344,78.50753021240234,70.36583709716797,41.162654876708984,39.23196792602539,0.45869722962379456,36.331539154052734,67.49948120117188,18.382652282714844,54.24299240112305,59.33295440673828,87.25102233886719,60.14995193481445,23.85448455810547,55.84665298461914
2015-01-08,24.75908660888672,42.505496978759766,13.571969032287598,66.6456069946289,44.81013870239258,116.98983001708984,67.57030487060547,62.46354675292969,99.48637390136719,25.122730255126953,151.5745849609375,74.66826629638672,77.47261810302734,44.51870346069336,30.345760345458984,57.94463348388672,79.72863006591797,70.6278076171875,41.99110794067383,40.3861083984375,0.47595229744911194,36.55046463012695,68.72621154785156,18.757810592651367,55.16684341430664,60.05183792114258,90.52149963378906,60.956722259521484,24.35795783996582,56.77619552612305
2015-01-09,24.785634994506836,41.3427848815918,13.328627586364746,65.84925079345703,44.803253173828125,115.18952941894531,66.22392272949219,62.88054656982422,98.09837341308594,24.81595230102539,149.24838256835938,73.4287338256836,76.41675567626953,43.74464797973633,30.010986328125,57.17607879638672,78.71257781982422,69.76703643798828,41.797367095947266,40.0466423034668,0.4778696596622467,36.53364181518555,68.26090240478516,18.844390869140625,54.86370086669922,58.977134704589844,88.89784240722656,60.053138732910156,24.056413650512695,56.696163177490234
2015-01-12,24.17490005493164,41.330204010009766,13.09314250946045,65.27828216552734,43.526519775390625,114.54657745361328,64.7979736328125,60.759639739990234,97.8942642211914,24.63456153869629,147.4320526123047,73.07250213623047,76.15458679199219,43.368682861328125,29.738994598388672,56.75905227661133,77.70585632324219,69.61734008789062,41.623634338378906,39.54596710205078,0.4718782603740692,36.43258285522461,67.9789047241211,18.913644790649414,55.07060241699219,56.67527770996094,88.1169662475586,59.93559265136719,24.236806869506836,55.606571197509766
2015-01-13,24.389545440673828,40.13976287841797,12.912605285644531,64.88763427734375,43.09173583984375,113.39722442626953,63.76982498168945,61.15503692626953,97.40437316894531,24.869478225708008,147.32058715820312,73.59203338623047,76.28567504882812,43.37605667114258,29.73201560974121,56.72636795043945,77.88292694091797,69.48262786865234,41.550148010253906,39.34229278564453,0.4711593985557556,36.14632034301758,67.92953491210938,18.723180770874023,55.01768112182617,56.47922134399414,86.46240997314453,60.11076354980469,24.04564666748047,55.403411865234375
2015-01-14,24.296607971191406,40.33606719970703,12.590770721435547,64.66221618652344,43.21595001220703,111.96659851074219,63.58624267578125,63.20671463012695,97.07778930664062,25.074159622192383,143.57647705078125,73.25062561035156,75.73223114013672,41.87957000732422,29.683189392089844,57.03706359863281,77.79905700683594,68.51705932617188,41.850807189941406,39.00284194946289,0.4730765223503113,36.25578308105469,68.15514373779297,18.74626922607422,54.623104095458984,56.92215347290039,86.0989990234375,58.90753173828125,23.318700790405273,55.243370056152344
2015-01-15,23.637184143066406,39.82314682006836,11.931404113769531,63.86693572998047,42.38088607788086,111.96659851074219,62.83348083496094,62.334999084472656,96.26131439208984,24.979005813598633,142.1903076171875,72.07789611816406,74.63265228271484,40.53789138793945,29.55765151977539,57.02071762084961,76.6711196899414,68.39729309082031,41.34303283691406,38.59550094604492,0.46972134709358215,35.89372253417969,68.15514373779297,18.70009422302246,54.623104095458984,55.64415740966797,85.6660385131836,58.347412109375,23.526018142700195,54.76322937011719
